Region,Country,State,City,Month,Day,Year,AvgTemperature,Date
Europe,France,,Paris,4,26,1995,54.3,1995-04-26
Europe,France,,Paris,4,27,1995,48.7,1995-04-27
Europe,France,,Paris,4,28,1995,49.5,1995-04-28
Europe,France,,Paris,4,29,1995,53.1,1995-04-29
Europe,France,,Paris,4,30,1995,54.9,1995-04-30
Europe,France,,Paris,5,1,1995,56.2,1995-05-01
Europe,France,,Paris,5,2,1995,63.8,1995-05-02
Europe,France,,Paris,5,3,1995,65.2,1995-05-03
Europe,France,,Paris,5,4,1995,68.6,1995-05-04
Europe,France,,Paris,5,5,1995,72.4,1995-05-05
Europe,France,,Paris,5,6,1995,72.2,1995-05-06
Europe,France,,Paris,5,7,1995,71.0,1995-05-07
Europe,France,,Paris,5,8,1995,66.7,1995-05-08
Europe,France,,Paris,5,9,1995,58.0,1995-05-09
Europe,France,,Paris,5,10,1995,58.3,1995-05-10
Europe,France,,Paris,5,11,1995,56.5,1995-05-11
Europe,France,,Paris,5,12,1995,53.1,1995-05-12
Europe,France,,Paris,5,13,1995,46.6,1995-05-13
Europe,France,,Paris,5,14,1995,49.5,1995-05-14
Europe,France,,Paris,5,15,1995,53.2,1995-05-15
Europe,France,,Paris,5,16,1995,54.3,1995-05-16
Europe,France,,Paris,5,17,1995,56.8,1995-05-17
Europe,France,,Paris,5,18,1995,50.0,1995-05-18
Europe,France,,Paris,5,19,1995,52.0,1995-05-19
Europe,France,,Paris,5,20,1995,53.6,1995-05-20
Europe,France,,Paris,5,21,1995,56.8,1995-05-21
Europe,France,,Paris,5,22,1995,60.3,1995-05-22
Europe,France,,Paris,5,23,1995,67.2,1995-05-23
Europe,France,,Paris,5,24,1995,64.4,1995-05-24
Europe,France,,Paris,5,25,1995,58.2,1995-05-25
Europe,France,,Paris,5,26,1995,63.9,1995-05-26
Europe,France,,Paris,5,27,1995,67.9,1995-05-27
Europe,France,,Paris,5,28,1995,64.0,1995-05-28
Europe,France,,Paris,5,29,1995,63.0,1995-05-29
Europe,France,,Paris,5,30,1995,59.0,1995-05-30
Europe,France,,Paris,5,31,1995,58.6,1995-05-31
Europe,France,,Paris,6,1,1995,58.4,1995-06-01
Europe,France,,Paris,6,2,1995,60.9,1995-06-02
Europe,France,,Paris,6,3,1995,58.2,1995-06-03
Europe,France,,Paris,6,4,1995,60.2,1995-06-04
Europe,France,,Paris,6,5,1995,56.8,1995-06-05
Europe,France,,Paris,6,6,1995,60.2,1995-06-06
Europe,France,,Paris,6,7,1995,61.9,1995-06-07
Europe,France,,Paris,6,8,1995,58.3,1995-06-08
Europe,France,,Paris,6,9,1995,58.3,1995-06-09
Europe,France,,Paris,6,10,1995,56.8,1995-06-10
Europe,France,,Paris,6,11,1995,56.6,1995-06-11
Europe,France,,Paris,6,12,1995,56.5,1995-06-12
Europe,France,,Paris,6,13,1995,53.5,1995-06-13
Europe,France,,Paris,6,14,1995,57.1,1995-06-14
Europe,France,,Paris,6,15,1995,57.9,1995-06-15
Europe,France,,Paris,6,16,1995,62.7,1995-06-16
Europe,France,,Paris,6,17,1995,61.0,1995-06-17
Europe,France,,Paris,6,18,1995,64.5,1995-06-18
Europe,France,,Paris,6,19,1995,69.3,1995-06-19
Europe,France,,Paris,6,20,1995,73.8,1995-06-20
Europe,France,,Paris,6,21,1995,70.9,1995-06-21
Europe,France,,Paris,6,22,1995,60.4,1995-06-22
Europe,France,,Paris,6,23,1995,60.2,1995-06-23
Europe,France,,Paris,6,24,1995,62.2,1995-06-24
Europe,France,,Paris,6,25,1995,67.5,1995-06-25
Europe,France,,Paris,6,26,1995,71.2,1995-06-26
Europe,France,,Paris,6,27,1995,77.1,1995-06-27
Europe,France,,Paris,6,28,1995,79.5,1995-06-28
Europe,France,,Paris,6,29,1995,79.2,1995-06-29
Europe,France,,Paris,6,30,1995,81.1,1995-06-30
Europe,France,,Paris,7,1,1995,79.5,1995-07-01
Europe,France,,Paris,7,2,1995,68.5,1995-07-02
Europe,France,,Paris,7,3,1995,62.1,1995-07-03
Europe,France,,Paris,7,4,1995,65.0,1995-07-04
Europe,France,,Paris,7,5,1995,65.0,1995-07-05
Europe,France,,Paris,7,6,1995,68.0,1995-07-06
Europe,France,,Paris,7,7,1995,70.4,1995-07-07
Europe,France,,Paris,7,8,1995,76.4,1995-07-08
Europe,France,,Paris,7,9,1995,82.0,1995-07-09
Europe,France,,Paris,7,10,1995,83.6,1995-07-10
Europe,France,,Paris,7,11,1995,77.8,1995-07-11
Europe,France,,Paris,7,12,1995,76.3,1995-07-12
Europe,France,,Paris,7,13,1995,78.7,1995-07-13
Europe,France,,Paris,7,14,1995,71.7,1995-07-14
Europe,France,,Paris,7,15,1995,68.2,1995-07-15
Europe,France,,Paris,7,16,1995,67.9,1995-07-16
Europe,France,,Paris,7,17,1995,69.6,1995-07-17
Europe,France,,Paris,7,18,1995,73.0,1995-07-18
Europe,France,,Paris,7,19,1995,74.0,1995-07-19
Europe,France,,Paris,7,20,1995,83.0,1995-07-20
Europe,France,,Paris,7,21,1995,87.3,1995-07-21
Europe,France,,Paris,7,22,1995,66.3,1995-07-22
Europe,France,,Paris,7,23,1995,68.1,1995-07-23
Europe,France,,Paris,7,24,1995,73.0,1995-07-24
Europe,France,,Paris,7,25,1995,78.7,1995-07-25
Europe,France,,Paris,7,26,1995,78.6,1995-07-26
Europe,France,,Paris,7,27,1995,66.7,1995-07-27
Europe,France,,Paris,7,28,1995,72.4,1995-07-28
Europe,France,,Paris,7,29,1995,74.0,1995-07-29
Europe,France,,Paris,7,30,1995,77.8,1995-07-30
Europe,France,,Paris,7,31,1995,81.2,1995-07-31
Europe,France,,Paris,8,1,1995,82.4,1995-08-01
Europe,France,,Paris,8,2,1995,85.6,1995-08-02
Europe,France,,Paris,8,3,1995,80.5,1995-08-03
Europe,France,,Paris,8,4,1995,78.5,1995-08-04
Europe,France,,Paris,8,5,1995,80.2,1995-08-05
Europe,France,,Paris,8,6,1995,71.9,1995-08-06
Europe,France,,Paris,8,7,1995,63.8,1995-08-07
Europe,France,,Paris,8,8,1995,64.0,1995-08-08
Europe,France,,Paris,8,9,1995,72.9,1995-08-09
Europe,France,,Paris,8,10,1995,75.2,1995-08-10
Europe,France,,Paris,8,11,1995,78.4,1995-08-11
Europe,France,,Paris,8,12,1995,79.6,1995-08-12
Europe,France,,Paris,8,13,1995,70.4,1995-08-13
Europe,France,,Paris,8,14,1995,67.5,1995-08-14
Europe,France,,Paris,8,15,1995,69.6,1995-08-15
Europe,France,,Paris,8,16,1995,73.3,1995-08-16
Europe,France,,Paris,8,17,1995,74.2,1995-08-17
Europe,France,,Paris,8,18,1995,75.2,1995-08-18
Europe,France,,Paris,8,19,1995,78.1,1995-08-19
Europe,France,,Paris,8,20,1995,79.0,1995-08-20
Europe,France,,Paris,8,21,1995,76.8,1995-08-21
Europe,France,,Paris,8,22,1995,77.1,1995-08-22
Europe,France,,Paris,8,23,1995,73.9,1995-08-23
Europe,France,,Paris,8,24,1995,69.6,1995-08-24
Europe,France,,Paris,8,25,1995,70.8,1995-08-25
Europe,France,,Paris,8,26,1995,67.2,1995-08-26
Europe,France,,Paris,8,27,1995,69.7,1995-08-27
Europe,France,,Paris,8,28,1995,60.2,1995-08-28
Europe,France,,Paris,8,29,1995,62.2,1995-08-29
Europe,France,,Paris,8,30,1995,61.4,1995-08-30
Europe,France,,Paris,8,31,1995,63.1,1995-08-31
Europe,France,,Paris,9,1,1995,62.7,1995-09-01
Europe,France,,Paris,9,2,1995,64.3,1995-09-02
Europe,France,,Paris,9,3,1995,61.3,1995-09-03
Europe,France,,Paris,9,4,1995,59.2,1995-09-04
Europe,France,,Paris,9,5,1995,61.5,1995-09-05
Europe,France,,Paris,9,6,1995,65.2,1995-09-06
Europe,France,,Paris,9,7,1995,62.8,1995-09-07
Europe,France,,Paris,9,8,1995,64.7,1995-09-08
Europe,France,,Paris,9,9,1995,65.0,1995-09-09
Europe,France,,Paris,9,10,1995,64.9,1995-09-10
Europe,France,,Paris,9,11,1995,64.2,1995-09-11
Europe,France,,Paris,9,12,1995,59.8,1995-09-12
Europe,France,,Paris,9,13,1995,60.2,1995-09-13
Europe,France,,Paris,9,14,1995,60.5,1995-09-14
Europe,France,,Paris,9,15,1995,57.1,1995-09-15
Europe,France,,Paris,9,16,1995,58.6,1995-09-16
Europe,France,,Paris,9,17,1995,59.0,1995-09-17
Europe,France,,Paris,9,18,1995,62.6,1995-09-18
Europe,France,,Paris,9,19,1995,64.9,1995-09-19
Europe,France,,Paris,9,20,1995,60.5,1995-09-20
Europe,France,,Paris,9,21,1995,60.2,1995-09-21
Europe,France,,Paris,9,22,1995,60.9,1995-09-22
Europe,France,,Paris,9,23,1995,59.2,1995-09-23
Europe,France,,Paris,9,24,1995,59.2,1995-09-24
Europe,France,,Paris,9,25,1995,56.0,1995-09-25
Europe,France,,Paris,9,26,1995,58.7,1995-09-26
Europe,France,,Paris,9,27,1995,60.6,1995-09-27
Europe,France,,Paris,9,28,1995,52.6,1995-09-28
Europe,France,,Paris,9,29,1995,53.8,1995-09-29
Europe,France,,Paris,9,30,1995,55.4,1995-09-30
Europe,France,,Paris,10,1,1995,63.9,1995-10-01
Europe,France,,Paris,10,2,1995,62.8,1995-10-02
Europe,France,,Paris,10,3,1995,66.1,1995-10-03
Europe,France,,Paris,10,4,1995,65.6,1995-10-04
Europe,France,,Paris,10,5,1995,60.2,1995-10-05
Europe,France,,Paris,10,6,1995,61.8,1995-10-06
Europe,France,,Paris,10,7,1995,64.9,1995-10-07
Europe,France,,Paris,10,8,1995,66.7,1995-10-08
Europe,France,,Paris,10,9,1995,67.5,1995-10-09
Europe,France,,Paris,10,10,1995,68.6,1995-10-10
Europe,France,,Paris,10,11,1995,-99.0,1995-10-11
Europe,France,,Paris,10,12,1995,62.6,1995-10-12
Europe,France,,Paris,10,13,1995,61.4,1995-10-13
Europe,France,,Paris,10,14,1995,63.2,1995-10-14
Europe,France,,Paris,10,15,1995,60.6,1995-10-15
Europe,France,,Paris,10,16,1995,58.9,1995-10-16
Europe,France,,Paris,10,17,1995,62.0,1995-10-17
Europe,France,,Paris,10,18,1995,63.0,1995-10-18
Europe,France,,Paris,10,19,1995,57.0,1995-10-19
Europe,France,,Paris,10,20,1995,56.8,1995-10-20
Europe,France,,Paris,10,21,1995,53.2,1995-10-21
Europe,France,,Paris,10,22,1995,49.8,1995-10-22
Europe,France,,Paris,10,23,1995,56.8,1995-10-23
Europe,France,,Paris,10,24,1995,63.9,1995-10-24
Europe,France,,Paris,10,25,1995,60.0,1995-10-25
Europe,France,,Paris,10,26,1995,60.0,1995-10-26
Europe,France,,Paris,10,27,1995,62.6,1995-10-27
Europe,France,,Paris,10,28,1995,58.0,1995-10-28
Europe,France,,Paris,10,29,1995,54.1,1995-10-29
Europe,France,,Paris,10,30,1995,48.6,1995-10-30
Europe,France,,Paris,10,31,1995,46.0,1995-10-31
Europe,France,,Paris,11,1,1995,45.4,1995-11-01
Europe,France,,Paris,11,2,1995,50.3,1995-11-02
Europe,France,,Paris,11,3,1995,49.3,1995-11-03
Europe,France,,Paris,11,4,1995,42.5,1995-11-04
Europe,France,,Paris,11,5,1995,35.1,1995-11-05
Europe,France,,Paris,11,6,1995,37.2,1995-11-06
Europe,France,,Paris,11,7,1995,39.3,1995-11-07
Europe,France,,Paris,11,8,1995,47.6,1995-11-08
Europe,France,,Paris,11,9,1995,49.9,1995-11-09
Europe,France,,Paris,11,10,1995,51.4,1995-11-10
Europe,France,,Paris,11,11,1995,60.5,1995-11-11
Europe,France,,Paris,11,12,1995,59.4,1995-11-12
Europe,France,,Paris,11,13,1995,50.1,1995-11-13
Europe,France,,Paris,11,14,1995,48.3,1995-11-14
Europe,France,,Paris,11,15,1995,51.5,1995-11-15
Europe,France,,Paris,11,16,1995,56.0,1995-11-16
Europe,France,,Paris,11,17,1995,43.2,1995-11-17
Europe,France,,Paris,11,18,1995,39.3,1995-11-18
Europe,France,,Paris,11,19,1995,41.7,1995-11-19
Europe,France,,Paris,11,20,1995,42.4,1995-11-20
Europe,France,,Paris,11,21,1995,40.2,1995-11-21
Europe,France,,Paris,11,22,1995,49.0,1995-11-22
Europe,France,,Paris,11,23,1995,51.1,1995-11-23
Europe,France,,Paris,11,24,1995,-99.0,1995-11-24
Europe,France,,Paris,11,25,1995,51.3,1995-11-25
Europe,France,,Paris,11,26,1995,49.3,1995-11-26
Europe,France,,Paris,11,27,1995,47.3,1995-11-27
Europe,France,,Paris,11,28,1995,-99.0,1995-11-28
Europe,France,,Paris,11,29,1995,36.6,1995-11-29
Europe,France,,Paris,11,30,1995,43.0,1995-11-30
Europe,France,,Paris,12,1,1995,40.4,1995-12-01
Europe,France,,Paris,12,2,1995,47.8,1995-12-02
Europe,France,,Paris,12,3,1995,46.9,1995-12-03
Europe,France,,Paris,12,4,1995,38.7,1995-12-04
Europe,France,,Paris,12,5,1995,29.4,1995-12-05
Europe,France,,Paris,12,6,1995,30.1,1995-12-06
Europe,France,,Paris,12,7,1995,-99.0,1995-12-07
Europe,France,,Paris,12,8,1995,32.6,1995-12-08
Europe,France,,Paris,12,9,1995,41.2,1995-12-09
Europe,France,,Paris,12,10,1995,36.4,1995-12-10
Europe,France,,Paris,12,11,1995,34.0,1995-12-11
Europe,France,,Paris,12,12,1995,38.8,1995-12-12
Europe,France,,Paris,12,13,1995,34.3,1995-12-13
Europe,France,,Paris,12,14,1995,33.4,1995-12-14
Europe,France,,Paris,12,15,1995,30.9,1995-12-15
Europe,France,,Paris,12,16,1995,36.0,1995-12-16
Europe,France,,Paris,12,17,1995,41.5,1995-12-17
Europe,France,,Paris,12,18,1995,44.0,1995-12-18
Europe,France,,Paris,12,19,1995,40.5,1995-12-19
Europe,France,,Paris,12,20,1995,44.2,1995-12-20
Europe,France,,Paris,12,21,1995,44.0,1995-12-21
Europe,France,,Paris,12,22,1995,52.8,1995-12-22
Europe,France,,Paris,12,23,1995,53.4,1995-12-23
Europe,France,,Paris,12,24,1995,45.9,1995-12-24
Europe,France,,Paris,12,25,1995,41.4,1995-12-25
Europe,France,,Paris,12,26,1995,33.2,1995-12-26
Europe,France,,Paris,12,27,1995,32.0,1995-12-27
Europe,France,,Paris,12,28,1995,27.4,1995-12-28
Europe,France,,Paris,12,29,1995,27.6,1995-12-29
Europe,France,,Paris,12,30,1995,34.2,1995-12-30
Europe,France,,Paris,12,31,1995,41.6,1995-12-31
Europe,France,,Paris,1,1,1996,43.9,1996-01-01
Europe,France,,Paris,1,2,1996,37.3,1996-01-02
Europe,France,,Paris,1,3,1996,36.8,1996-01-03
Europe,France,,Paris,1,4,1996,37.5,1996-01-04
Europe,France,,Paris,1,5,1996,41.0,1996-01-05
Europe,France,,Paris,1,6,1996,-99.0,1996-01-06
Europe,France,,Paris,1,7,1996,50.7,1996-01-07
Europe,France,,Paris,1,8,1996,49.5,1996-01-08
Europe,France,,Paris,1,9,1996,49.1,1996-01-09
Europe,France,,Paris,1,10,1996,48.8,1996-01-10
Europe,France,,Paris,1,11,1996,47.4,1996-01-11
Europe,France,,Paris,1,12,1996,48.6,1996-01-12
Europe,France,,Paris,1,13,1996,46.6,1996-01-13
Europe,France,,Paris,1,14,1996,46.9,1996-01-14
Europe,France,,Paris,1,15,1996,44.9,1996-01-15
Europe,France,,Paris,1,16,1996,40.4,1996-01-16
Europe,France,,Paris,1,17,1996,34.2,1996-01-17
Europe,France,,Paris,1,18,1996,35.8,1996-01-18
Europe,France,,Paris,1,19,1996,38.3,1996-01-19
Europe,France,,Paris,1,20,1996,31.6,1996-01-20
Europe,France,,Paris,1,21,1996,35.1,1996-01-21
Europe,France,,Paris,1,22,1996,38.7,1996-01-22
Europe,France,,Paris,1,23,1996,39.3,1996-01-23
Europe,France,,Paris,1,24,1996,38.7,1996-01-24
Europe,France,,Paris,1,25,1996,31.5,1996-01-25
Europe,France,,Paris,1,26,1996,25.0,1996-01-26
Europe,France,,Paris,1,27,1996,28.5,1996-01-27
Europe,France,,Paris,1,28,1996,32.5,1996-01-28
Europe,France,,Paris,1,29,1996,33.4,1996-01-29
Europe,France,,Paris,1,30,1996,32.6,1996-01-30
Europe,France,,Paris,1,31,1996,32.3,1996-01-31
Europe,France,,Paris,2,1,1996,34.9,1996-02-01
Europe,France,,Paris,2,2,1996,36.2,1996-02-02
Europe,France,,Paris,2,3,1996,33.8,1996-02-03
Europe,France,,Paris,2,4,1996,32.1,1996-02-04
Europe,France,,Paris,2,5,1996,30.9,1996-02-05
Europe,France,,Paris,2,6,1996,30.4,1996-02-06
Europe,France,,Paris,2,7,1996,33.4,1996-02-07
Europe,France,,Paris,2,8,1996,35.5,1996-02-08
Europe,France,,Paris,2,9,1996,37.5,1996-02-09
Europe,France,,Paris,2,10,1996,44.7,1996-02-10
Europe,France,,Paris,2,11,1996,43.4,1996-02-11
Europe,France,,Paris,2,12,1996,42.7,1996-02-12
Europe,France,,Paris,2,13,1996,39.2,1996-02-13
Europe,France,,Paris,2,14,1996,34.9,1996-02-14
Europe,France,,Paris,2,15,1996,34.8,1996-02-15
Europe,France,,Paris,2,16,1996,44.0,1996-02-16
Europe,France,,Paris,2,17,1996,47.0,1996-02-17
Europe,France,,Paris,2,18,1996,43.2,1996-02-18
Europe,France,,Paris,2,19,1996,34.5,1996-02-19
Europe,France,,Paris,2,20,1996,28.8,1996-02-20
Europe,France,,Paris,2,21,1996,25.8,1996-02-21
Europe,France,,Paris,2,22,1996,30.8,1996-02-22
Europe,France,,Paris,2,23,1996,35.1,1996-02-23
Europe,France,,Paris,2,24,1996,43.9,1996-02-24
Europe,France,,Paris,2,25,1996,50.8,1996-02-25
Europe,France,,Paris,2,26,1996,41.6,1996-02-26
Europe,France,,Paris,2,27,1996,43.3,1996-02-27
Europe,France,,Paris,2,28,1996,39.8,1996-02-28
Europe,France,,Paris,2,29,1996,42.6,1996-02-29
Europe,France,,Paris,3,1,1996,42.6,1996-03-01
Europe,France,,Paris,3,2,1996,36.9,1996-03-02
Europe,France,,Paris,3,3,1996,38.2,1996-03-03
Europe,France,,Paris,3,4,1996,38.7,1996-03-04
Europe,France,,Paris,3,5,1996,42.2,1996-03-05
Europe,France,,Paris,3,6,1996,40.5,1996-03-06
Europe,France,,Paris,3,7,1996,37.9,1996-03-07
Europe,France,,Paris,3,8,1996,45.4,1996-03-08
Europe,France,,Paris,3,9,1996,48.2,1996-03-09
Europe,France,,Paris,3,10,1996,42.0,1996-03-10
Europe,France,,Paris,3,11,1996,40.0,1996-03-11
Europe,France,,Paris,3,12,1996,33.8,1996-03-12
Europe,France,,Paris,3,13,1996,34.7,1996-03-13
Europe,France,,Paris,3,14,1996,42.2,1996-03-14
Europe,France,,Paris,3,15,1996,50.7,1996-03-15
Europe,France,,Paris,3,16,1996,49.6,1996-03-16
Europe,France,,Paris,3,17,1996,47.9,1996-03-17
Europe,France,,Paris,3,18,1996,51.5,1996-03-18
Europe,France,,Paris,3,19,1996,48.4,1996-03-19
Europe,France,,Paris,3,20,1996,48.0,1996-03-20
Europe,France,,Paris,3,21,1996,51.3,1996-03-21
Europe,France,,Paris,3,22,1996,49.9,1996-03-22
Europe,France,,Paris,3,23,1996,58.5,1996-03-23
Europe,France,,Paris,3,24,1996,59.5,1996-03-24
Europe,France,,Paris,3,25,1996,57.1,1996-03-25
Europe,France,,Paris,3,26,1996,49.0,1996-03-26
Europe,France,,Paris,3,27,1996,39.9,1996-03-27
Europe,France,,Paris,3,28,1996,40.9,1996-03-28
Europe,France,,Paris,3,29,1996,43.4,1996-03-29
Europe,France,,Paris,3,30,1996,42.0,1996-03-30
Europe,France,,Paris,3,31,1996,39.2,1996-03-31
Europe,France,,Paris,4,1,1996,41.1,1996-04-01
Europe,France,,Paris,4,2,1996,39.1,1996-04-02
Europe,France,,Paris,4,3,1996,40.3,1996-04-03
Europe,France,,Paris,4,4,1996,43.0,1996-04-04
Europe,France,,Paris,4,5,1996,42.9,1996-04-05
Europe,France,,Paris,4,6,1996,48.4,1996-04-06
Europe,France,,Paris,4,7,1996,46.9,1996-04-07
Europe,France,,Paris,4,8,1996,51.9,1996-04-08
Europe,France,,Paris,4,9,1996,54.7,1996-04-09
Europe,France,,Paris,4,10,1996,53.2,1996-04-10
Europe,France,,Paris,4,11,1996,54.9,1996-04-11
Europe,France,,Paris,4,12,1996,52.0,1996-04-12
Europe,France,,Paris,4,13,1996,47.5,1996-04-13
Europe,France,,Paris,4,14,1996,49.4,1996-04-14
Europe,France,,Paris,4,15,1996,55.0,1996-04-15
Europe,France,,Paris,4,16,1996,57.6,1996-04-16
Europe,France,,Paris,4,17,1996,54.8,1996-04-17
Europe,France,,Paris,4,18,1996,56.0,1996-04-18
Europe,France,,Paris,4,19,1996,61.8,1996-04-19
Europe,France,,Paris,4,20,1996,66.6,1996-04-20
Europe,France,,Paris,4,21,1996,67.8,1996-04-21
Europe,France,,Paris,4,22,1996,68.5,1996-04-22
Europe,France,,Paris,4,23,1996,58.6,1996-04-23
Europe,France,,Paris,4,24,1996,54.2,1996-04-24
